TimestampMs,State,TargetX,TargetY,TargetZ,SetpointA,SetpointB,SetpointC,CountA,CountB,CountC,ErrA,ErrB,ErrC,Status
--- NEW TEST SESSION STARTED ---
--- NEW TEST SESSION STARTED ---
26404,2,0.00,0.00,0.00,0,0,0,-1,-38,41,1,38,-41,RUNNING
26426,2,0.00,0.00,0.00,0,0,0,-1,-37,41,1,37,-41,RUNNING
26448,2,0.00,0.00,0.00,0,0,0,-1,-39,40,1,39,-40,RUNNING
26470,2,0.00,0.00,0.00,0,0,0,-1,-39,35,1,39,-35,RUNNING
26492,2,0.00,0.00,0.00,0,0,0,-1,-39,28,1,39,-28,RUNNING
26514,2,0.00,0.00,0.00,0,0,0,-1,-37,20,1,37,-20,RUNNING
26536,2,0.00,0.00,0.00,0,0,0,-1,-31,15,1,31,-15,RUNNING
26558,2,0.00,0.00,0.00,0,0,0,-1,-23,15,1,23,-15,RUNNING
26580,2,0.00,0.00,0.00,0,0,0,-1,-13,15,1,13,-15,RUNNING
26604,2,0.00,0.00,0.00,0,0,0,-1,-7,15,1,7,-15,RUNNING
26626,2,0.00,0.00,0.00,0,0,0,-1,-8,15,1,8,-15,RUNNING
26648,2,0.00,0.00,0.00,0,0,0,-1,-9,10,1,9,-10,RUNNING
26670,2,0.00,0.00,0.00,0,0,0,-1,-9,2,1,9,-2,RUNNING
26692,2,0.00,0.00,0.00,0,0,0,-1,-9,-1,1,9,1,RUNNING
26714,2,0.00,0.00,0.00,0,0,0,-1,-7,-1,1,7,1,RUNNING
26731,2,0.00,0.00,0.00,0,0,0,-1,-7,-1,1,7,1,TEST_COMPLETE_RETURNED_HOME
53095,3,0.00,20.00,0.00,-228,141,141,-1,29,0,-227,112,141,START_STEP
53116,3,0.00,20.00,0.00,-228,141,141,-1,29,0,-227,112,141,RUNNING
53140,3,0.00,20.00,0.00,-228,141,141,0,28,0,-228,113,141,RUNNING
53162,3,0.00,20.00,0.00,-228,141,141,-1,41,0,-227,100,141,RUNNING
53184,3,0.00,20.00,0.00,-228,141,141,-28,62,18,-200,79,123,RUNNING
53206,3,0.00,20.00,0.00,-228,141,141,-56,86,47,-172,55,94,RUNNING
53228,3,0.00,20.00,0.00,-228,141,141,-90,108,76,-138,33,65,RUNNING
53250,3,0.00,20.00,0.00,-228,141,141,-119,123,103,-109,18,38,RUNNING
53272,3,0.00,20.00,0.00,-228,141,141,-150,129,126,-78,12,15,RUNNING
53294,3,0.00,20.00,0.00,-228,141,141,-184,129,143,-44,12,-2,RUNNING
53376,3,0.00,20.00,0.00,-228,141,141,-282,144,147,54,-3,-6,RUNNING
53398,3,0.00,20.00,0.00,-228,141,141,-301,153,147,73,-12,-6,RUNNING
53420,3,0.00,20.00,0.00,-228,141,141,-310,161,147,82,-20,-6,RUNNING
53442,3,0.00,20.00,0.00,-228,141,141,-307,161,147,79,-20,-6,RUNNING
53464,3,0.00,20.00,0.00,-228,141,141,-310,160,147,82,-19,-6,RUNNING
53486,3,0.00,20.00,0.00,-228,141,141,-306,160,153,78,-19,-12,RUNNING
53508,3,0.00,20.00,0.00,-228,141,141,-302,160,162,74,-19,-21,RUNNING
53532,3,0.00,20.00,0.00,-228,141,141,-304,165,173,76,-24,-32,RUNNING
53554,3,0.00,20.00,0.00,-228,141,141,-300,173,178,72,-32,-37,RUNNING
53576,3,0.00,20.00,0.00,-228,141,141,-303,177,178,75,-36,-37,RUNNING
53598,3,0.00,20.00,0.00,-228,141,141,-301,176,178,73,-35,-37,RUNNING
53620,3,0.00,20.00,0.00,-228,141,141,-303,176,178,75,-35,-37,RUNNING
53642,3,0.00,20.00,0.00,-228,141,141,-299,176,178,71,-35,-37,RUNNING
53664,3,0.00,20.00,0.00,-228,141,141,-295,175,178,67,-34,-37,RUNNING
53686,3,0.00,20.00,0.00,-228,141,141,-290,176,178,62,-35,-37,RUNNING
53710,3,0.00,20.00,0.00,-228,141,141,-279,175,178,51,-34,-37,RUNNING
53732,3,0.00,20.00,0.00,-228,141,141,-274,175,178,46,-34,-37,RUNNING
53754,3,0.00,20.00,0.00,-228,141,141,-266,174,178,38,-33,-37,RUNNING
53776,3,0.00,20.00,0.00,-228,141,141,-265,172,178,37,-31,-37,RUNNING
53798,3,0.00,20.00,0.00,-228,141,141,-263,163,173,35,-22,-32,RUNNING
53820,3,0.00,20.00,0.00,-228,141,141,-264,151,162,36,-10,-21,RUNNING
53842,3,0.00,20.00,0.00,-228,141,141,-261,143,154,33,-2,-13,RUNNING
53866,3,0.00,20.00,0.00,-228,141,141,-254,143,153,26,-2,-12,RUNNING
